id,name,parent_id,depth,url
,Emergency Vehicle Lighting,0,0,"{'path': '/responder-flashlights/first-responder-emergency-lighting', 'is_customized': True}"
,Emergency Vehicle Lighting,0,0,"{'path': '/emergency-vehicle-equipment/first-responder-emergency-lighting', 'is_customized': True}"
,Medical Bags,0,0,"{'path': '/responder-bags/ems-medical-bags', 'is_customized': False}"
,Radios and Scanners,0,0,"{'path': '/first-responder-electronic-equipment/firefighter-radios-and-scanners', 'is_customized': False}"
,Cord Reels,0,0,"{'path': '/firefighting-power-equipment/emergency-vehicle-cord-reels', 'is_customized': False}"
,Cord Reels,0,0,"{'path': '/emergency-vehicle-equipment/emergency-vehicle-cord-reels', 'is_customized': False}"
,Sirens,0,0,"{'path': '/emergency-vehicle-equipment/emergency-vehicle-sirens', 'is_customized': False}"
,Equipment Markers,0,0,"{'path': '/first-responder-decals/equipment-markers', 'is_customized': False}"
,Equipment Storage,0,0,"{'path': '/rescue-gear-storage/first-responder-equipment-storage', 'is_customized': False}"
,Eye Protection,0,0,"{'path': '/firefighter-personal-protective-equipment/first-responder-eye-protection', 'is_customized': False}"
,Drills,0,0,"{'path': '/firefighting-power-equipment/firefighter-power-drills', 'is_customized': False}"
,Scene Lighting,0,0,"{'path': '/responder-flashlights/firefighting-scene-lights', 'is_customized': False}"
,Attic Ladders,0,0,"{'path': '/firefighting-ladders/firefighter-attic-ladder', 'is_customized': False}"
,Battery Fans,0,0,"{'path': '/firefighter-ventilation/firefighter-battery-fan', 'is_customized': False}"
,Training Props and Simulators - Old,0,0,"{'path': '/firefighter-trainers/firefighter-demo-props', 'is_customized': True}"
,Electric Fans,0,0,"{'path': '/firefighter-ventilation/firefighter-electric-fans', 'is_customized': False}"
,Extension Ladders,0,0,"{'path': '/firefighting-ladders/firefighter-extension-ladder', 'is_customized': False}"
,Fan Accessories and Parts,0,0,"{'path': '/firefighter-ventilation/firefighter-fan-parts', 'is_customized': False}"
,First Aid Supplies,0,0,"{'path': '/medical-supplies-and-equipment/firefighter-first-aid-supplies', 'is_customized': False}"
,Gas Fans,0,0,"{'path': '/firefighter-ventilation/firefighting-gas-fans', 'is_customized': False}"
,Gloves,0,0,"{'path': '/firefighter-personal-protective-equipment/firefighter-gloves', 'is_customized': False}"
,Hoods,0,0,"{'path': '/firefighter-personal-protective-equipment/firefighter-hoods', 'is_customized': False}"
,Hose - Old,0,0,"{'path': '/suppression/hose-old/', 'is_customized': False}"
,Negative Pressure Fans,0,0,"{'path': '/firefighter-ventilation/firefighting-negative-pressure-fans', 'is_customized': False}"
,Portable Fans,0,0,"{'path': '/firefighter-ventilation/firefighting-portable-fans', 'is_customized': True}"
,Portable Pumps,0,0,"{'path': '/suppression/portable-pumps/', 'is_customized': False}"
,Portable Pumps,0,0,"{'path': '/wildland/portable-pumps/', 'is_customized': False}"
,Reciprocating Saws,0,0,"{'path': '/firefighting-power-equipment/firefighter-reciprocating-saws', 'is_customized': False}"
,Reporting Supplies,0,0,"{'path': '/firefighting-suppression-equipment/firefighter-reporting-supplies', 'is_customized': False}"
,Roof Ladders,0,0,"{'path': '/firefighting-ladders/firefighter-roof-ladders', 'is_customized': False}"
,Turnout Gear,0,0,"{'path': '/firefighter-personal-protective-equipment/firefighter-turnout-gear', 'is_customized': False}"
,Water Tanks,0,0,"{'path': '/firefighting-suppression-equipment/firefighting-water-tanks', 'is_customized': False}"
,Nozzles and Monitors,0,0,"{'path': '/suppression/nozzles-and-monitors/', 'is_customized': False}"
,Suppressants,0,0,"{'path': '/firefighting-suppression-equipment/firefighting-suppressants', 'is_customized': False}"
,Skid Units,0,0,"{'path': '/firefighting-suppression-equipment/fire-suppression-skid-units', 'is_customized': False}"
,Flex Badges,0,0,"{'path': '/first-responder-badges/flex-badges', 'is_customized': False}"
,Footwear Accessories,0,0,"{'path': '/first-responder-footwear/first-responder-footwear-accessories', 'is_customized': False}"
,Forcible Entry Tools,0,0,"{'path': '/first-responder-tools/firefighter-forcible-entry-tools', 'is_customized': False}"
,Fuel Containers,0,0,"{'path': '/firefighting-power-equipment/firefighter-fuel-containers', 'is_customized': False}"
,Gas Meters,0,0,"{'path': '/first-responder-electronic-equipment/firefighter-gas-meters', 'is_customized': False}"
,Gear Bags,0,0,"{'path': '/responder-bags/firefighter-gear-bags', 'is_customized': False}"
,Gear Racks,0,0,"{'path': '/rescue-gear-storage/firefighter-gear-racks', 'is_customized': False}"
,Glass Removal Tools,0,0,"{'path': '/vehicle-rescue/glass-removal-tools/', 'is_customized': False}"
,Glow Decals,0,0,"{'path': '/first-responder-decals/first-responder-glow-decals', 'is_customized': False}"
,Hard Cases,0,0,"{'path': '/rescue-gear-storage/first-responder-hard-cases', 'is_customized': False}"
,Safety Helmets,0,0,"{'path': '/fire-helmets/firefighter-hard-hats', 'is_customized': False}"
,PPE,0,0,"{'path': '/hazmat-response-equipment/hazmat-ppe', 'is_customized': True}"
,Helmet Trim,0,0,"{'path': '/first-responder-decals/fire-helmet-decal-trim', 'is_customized': False}"
,Hooks,0,0,"{'path': '/first-responder-tools/firefighter-hooks', 'is_customized': False}"
,Hose Bags,0,0,"{'path': '/responder-bags/firefighter-hose-bags', 'is_customized': False}"
,Hoseline Testing Equipment,0,0,"{'path': '/firefighting-suppression-equipment/firefighter-hoseline-testing', 'is_customized': False}"
,Infection Control,0,0,"{'path': '/medical-supplies-and-equipment/medical-infection-control', 'is_customized': False}"
,Ladder Accessories and Parts,0,0,"{'path': '/firefighting-ladders/firefighter-ladder-parts', 'is_customized': False}"
,Leather Belts,0,0,"{'path': '/first-responder-leather-goods/first-responder-leather-belts', 'is_customized': False}"
,Leather Helmet Fronts/Shields,0,0,"{'path': '/fire-helmets/firefighter-leather-helmet-fronts', 'is_customized': True}"
